medicine_name,department,source_file
Cap. Dabigatran 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Lisinopril 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Fenofibrate 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Verapamil 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Bisoprolol 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Lisinopril 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nifedipine 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Carvedilol 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Cilnidipine 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Clopidogrel 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Digoxin 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Carvedilol 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ramipril 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Metoprolol 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Telmisartan 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Olmesartan 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Apixaban 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Hydrochlorothiazide 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nifedipine 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nitroglycerin 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Atenolol 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Dabigatran 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ramipril 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Cilnidipine 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Sacubitril 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Heparin 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nitroglycerin 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Warfarin 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Clopidogrel 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Nebivolol 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Diltiazem 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Heparin 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Metoprolol 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Metoprolol 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ecosprin 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Metoprolol 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nifedipine 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nifedipine 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Telmisartan 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Valsartan 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Fenofibrate 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Nebivolol 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Torsemide 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Perindopril 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ecosprin 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Sacubitril 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Digoxin 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Ivabradine 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Metoprolol 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Fenofibrate 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Nebivolol 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ramipril 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Valsartan 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Losartan 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Aspirin 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Hydrochlorothiazide 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Clopidogrel 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Verapamil 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Ivabradine 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nitroglycerin 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Clopidogrel 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Rosuvastatin 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Simvastatin 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Atenolol 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Lisinopril 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Rosuvastatin 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Spironolactone 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Amiodarone 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Rosuvastatin 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Isosorbide Mononitrate 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Amlodipine 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Lisinopril 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nitroglycerin 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Perindopril 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Metoprolol 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Perindopril 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Apixaban 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Digoxin 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Simvastatin 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Warfarin 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Atorvastatin 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Carvedilol 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Furosemide 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Torsemide 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Hydrochlorothiazide 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Cilnidipine 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Enalapril 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Losartan 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Rivaroxaban 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Spironolactone 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Clopidogrel 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Verapamil 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Diltiazem 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Rosuvastatin 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Telmisartan 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Nebivolol 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Verapamil 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Aspirin 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Rosuvastatin 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Amiodarone 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Atenolol 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Isosorbide Mononitrate 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Torsemide 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Carvedilol 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Carvedilol 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Isosorbide Mononitrate 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Torsemide 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Diltiazem 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Rivaroxaban 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Perindopril 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Telmisartan 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ramipril 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Verapamil 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Amlodipine 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Hydrochlorothiazide 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Atenolol 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Enalapril 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ramipril 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Spironolactone 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Carvedilol 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Bisoprolol 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Bisoprolol 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Simvastatin 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Nebivolol 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Rivaroxaban 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Amlodipine 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Rosuvastatin 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Atorvastatin 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Olmesartan 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Perindopril 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Furosemide 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Losartan 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Amlodipine 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Metoprolol 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Dabigatran 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Losartan 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Rosuvastatin 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Isosorbide Mononitrate 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Olmesartan 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Telmisartan 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Olmesartan 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Rivaroxaban 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Heparin 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Metoprolol 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Atenolol 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Enalapril 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nifedipine 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Fenofibrate 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Rivaroxaban 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Perindopril 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Enalapril 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Sacubitril 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Furosemide 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Losartan 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Bisoprolol 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Carvedilol 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Aspirin 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Digoxin 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Warfarin 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Isosorbide Mononitrate 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Aspirin 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Digoxin 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Perindopril 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Telmisartan 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Furosemide 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Furosemide 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Olmesartan 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Amlodipine 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Ivabradine 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Apixaban 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Lisinopril 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Aspirin 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Heparin 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Rosuvastatin 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Losartan 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Verapamil 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Amiodarone 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Enalapril 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Isosorbide Mononitrate 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Torsemide 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ecosprin 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Telmisartan 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Sacubitril 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Torsemide 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Valsartan 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Ivabradine 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Metoprolol 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Spironolactone 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Cilnidipine 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Heparin 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Spironolactone 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Torsemide 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Valsartan 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Sacubitril 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Simvastatin 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Valsartan 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Nebivolol 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Ivabradine 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Isosorbide Mononitrate 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Diltiazem 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Hydrochlorothiazide 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Spironolactone 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Heparin 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Perindopril 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Amlodipine 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Apixaban 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nitroglycerin 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Cilnidipine 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Olmesartan 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Furosemide 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Digoxin 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Simvastatin 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Simvastatin 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Valsartan 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Ivabradine 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Fenofibrate 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Furosemide 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Carvedilol 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Cilnidipine 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Rosuvastatin 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Spironolactone 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Dabigatran 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Bisoprolol 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Losartan 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Sacubitril 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Amiodarone 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Heparin 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ramipril 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Rivaroxaban 10mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nitroglycerin 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Nitroglycerin 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ramipril 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Digoxin 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Diltiazem 75mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Clopidogrel 40mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Clopidogrel 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Rivaroxaban 5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Spironolactone 2.5mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Warfarin 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Warfarin 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Ivabradine 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Atorvastatin 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Apixaban 50mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Nebivolol 25mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Dabigatran 80mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Cap. Ramipril 100mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
Tab. Simvastatin 20mg,Cardiology,dataset/cardiology_custom_20260625_200149/line_crops/labels.csv
