medicine_name,department,source_group
Acebeta-740 Nifedipine 125mg Capsule,Cardiology,User_Upload
Acebeta-755 Chlorthalidone 1mg Tablet,Cardiology,User_Upload
Acebeta-758 Nifedipine 2mg Cap,Cardiology,User_Upload
Acebeta-761 Fenofibrate 4mg Capsule,Cardiology,User_Upload
Acebeta-77 Chlorthalidone 20mg Cap,Cardiology,User_Upload
Acebeta-776 Nifedipine 2.5mg Cap,Cardiology,User_Upload
Acebeta-779 Fenofibrate 5mg Capsule,Cardiology,User_Upload
Acebeta-782 Ambrisentan 10mg Inj,Cardiology,User_Upload
Acebeta-794 Nifedipine 80mg Tablet,Cardiology,User_Upload
Acebeta-797 Fenofibrate 100mg Cap,Cardiology,User_Upload
Acebeta-80 Nifedipine 25mg Capsule,Cardiology,User_Upload
Acebeta-800 Ambrisentan 125mg Capsule,Cardiology,User_Upload
Acebeta-815 Fenofibrate 1mg Tablet,Cardiology,User_Upload
Acebeta-818 Ambrisentan 2mg Cap,Cardiology,User_Upload
Acebeta-821 Warfarin 8mg Capsule,Cardiology,User_Upload
Acebeta-836 Ambrisentan 2.5mg Cap,Cardiology,User_Upload
Acebeta-839 Warfarin 10mg Capsule,Cardiology,User_Upload
Acebeta-842 Trimetazidine 20mg Inj,Cardiology,User_Upload
Acebeta-854 Ambrisentan 80mg Tablet,Cardiology,User_Upload
Acebeta-857 Warfarin 125mg Cap,Cardiology,User_Upload
Acebeta-860 Trimetazidine 150mg Capsule,Cardiology,User_Upload
Acebeta-875 Warfarin 2mg Tablet,Cardiology,User_Upload
Acebeta-878 Trimetazidine 4mg Cap,Cardiology,User_Upload
Acebeta-881 Selexipag 8mg Capsule,Cardiology,User_Upload
Acebeta-893 Warfarin 2.5mg Tablet,Cardiology,User_Upload
Acebeta-896 Trimetazidine 5mg Cap,Cardiology,User_Upload
Acebeta-899 Selexipag 10mg Capsule,Cardiology,User_Upload
Acebeta-902 Enalapril 25mg Inj,Cardiology,User_Upload
Acebeta-914 Trimetazidine 100mg Tablet,Cardiology,User_Upload
Acebeta-917 Selexipag 125mg Cap,Cardiology,User_Upload
Acebeta-920 Enalapril 160mg Capsule,Cardiology,User_Upload
Acebeta-935 Selexipag 2mg Tablet,Cardiology,User_Upload
Acebeta-938 Enalapril 8mg Cap,Cardiology,User_Upload
Acebeta-941 Ezetimibe 12.5mg Capsule,Cardiology,User_Upload
Acebeta-95 Chlorthalidone 150mg Tablet,Cardiology,User_Upload
Acebeta-953 Selexipag 2.5mg Tablet,Cardiology,User_Upload
Acebeta-956 Enalapril 10mg Cap,Cardiology,User_Upload
Acebeta-959 Ezetimibe 20mg Capsule,Cardiology,User_Upload
Acebeta-962 Noradrenaline 25mg Inj,Cardiology,User_Upload
Acebeta-974 Enalapril 125mg Tablet,Cardiology,User_Upload
Acebeta-977 Ezetimibe 150mg Cap,Cardiology,User_Upload
Acebeta-98 Nifedipine 160mg Cap,Cardiology,User_Upload
Acebeta-980 Noradrenaline 160mg Capsule,Cardiology,User_Upload
Acebeta-995 Ezetimibe 4mg Tablet,Cardiology,User_Upload
Acebeta-998 Noradrenaline 8mg Cap,Cardiology,User_Upload
Acecare-1 Selexipag 160mg Capsule,Cardiology,User_Upload
Acecare-100 Noradrenaline 25mg Capsule,Cardiology,User_Upload
Acecare-115 Ezetimibe 150mg Tablet,Cardiology,User_Upload
Acecare-118 Noradrenaline 160mg Cap,Cardiology,User_Upload
Acecare-121 Moxonidine 200mg Capsule,Cardiology,User_Upload
Acecare-136 Noradrenaline 8mg Tablet,Cardiology,User_Upload
Acecare-139 Moxonidine 12.5mg Cap,Cardiology,User_Upload
Acecare-142 Chlorthalidone 60mg Capsule,Cardiology,User_Upload
Acecare-154 Noradrenaline 10mg Tablet,Cardiology,User_Upload
Acecare-157 Moxonidine 20mg Cap,Cardiology,User_Upload
Acecare-16 Trimetazidine 4mg Tablet,Cardiology,User_Upload
Acecare-160 Chlorthalidone 40mg Capsule,Cardiology,User_Upload
Acecare-175 Moxonidine 150mg Tablet,Cardiology,User_Upload
Acecare-178 Chlorthalidone 200mg Cap,Cardiology,User_Upload
Acecare-181 Nifedipine 250mg Capsule,Cardiology,User_Upload
Acecare-19 Selexipag 8mg Cap,Cardiology,User_Upload
Acecare-196 Chlorthalidone 12.5mg Tablet,Cardiology,User_Upload
Acecare-199 Nifedipine 30mg Cap,Cardiology,User_Upload
Acecare-202 Fenofibrate 60mg Capsule,Cardiology,User_Upload
Acecare-214 Chlorthalidone 20mg Tablet,Cardiology,User_Upload
Acecare-217 Nifedipine 25mg Cap,Cardiology,User_Upload
Acecare-22 Enalapril 30mg Capsule,Cardiology,User_Upload
Acecare-220 Fenofibrate 40mg Capsule,Cardiology,User_Upload
Acecare-235 Nifedipine 160mg Tablet,Cardiology,User_Upload
Acecare-238 Fenofibrate 200mg Cap,Cardiology,User_Upload
Acecare-241 Ambrisentan 250mg Capsule,Cardiology,User_Upload
Acecare-256 Fenofibrate 12.5mg Tablet,Cardiology,User_Upload
Acecare-259 Ambrisentan 30mg Cap,Cardiology,User_Upload
Acecare-262 Warfarin 90mg Capsule,Cardiology,User_Upload
Acecare-274 Fenofibrate 20mg Tablet,Cardiology,User_Upload
Acecare-277 Ambrisentan 25mg Cap,Cardiology,User_Upload
Acecare-280 Warfarin 50mg Capsule,Cardiology,User_Upload
Acecare-295 Ambrisentan 160mg Tablet,Cardiology,User_Upload
Acecare-298 Warfarin 250mg Cap,Cardiology,User_Upload
Acecare-301 Trimetazidine 300mg Capsule,Cardiology,User_Upload
Acecare-316 Warfarin 30mg Tablet,Cardiology,User_Upload
Acecare-319 Trimetazidine 60mg Cap,Cardiology,User_Upload
Acecare-322 Selexipag 90mg Capsule,Cardiology,User_Upload
Acecare-334 Warfarin 25mg Tablet,Cardiology,User_Upload
Acecare-337 Trimetazidine 40mg Cap,Cardiology,User_Upload
Acecare-34 Trimetazidine 5mg Tablet,Cardiology,User_Upload
Acecare-340 Selexipag 50mg Capsule,Cardiology,User_Upload
Acecare-355 Trimetazidine 200mg Tablet,Cardiology,User_Upload
Acecare-358 Selexipag 250mg Cap,Cardiology,User_Upload
Acecare-361 Enalapril 500mg Capsule,Cardiology,User_Upload
Acecare-37 Selexipag 10mg Cap,Cardiology,User_Upload
Acecare-376 Selexipag 30mg Tablet,Cardiology,User_Upload
Acecare-379 Enalapril 90mg Cap,Cardiology,User_Upload
Acecare-382 Ezetimibe 120mg Capsule,Cardiology,User_Upload
Acecare-394 Selexipag 25mg Tablet,Cardiology,User_Upload
Acecare-397 Enalapril 50mg Cap,Cardiology,User_Upload
Acecare-40 Enalapril 25mg Capsule,Cardiology,User_Upload
Acecare-400 Ezetimibe 75mg Capsule,Cardiology,User_Upload
Acecare-415 Enalapril 250mg Tablet,Cardiology,User_Upload
Acecare-418 Ezetimibe 300mg Cap,Cardiology,User_Upload
Acecare-421 Noradrenaline 500mg Capsule,Cardiology,User_Upload
Acecare-43 Ezetimibe 40mg Inj,Cardiology,User_Upload
Acecare-436 Ezetimibe 60mg Tablet,Cardiology,User_Upload
Acecare-439 Noradrenaline 90mg Cap,Cardiology,User_Upload
Acecare-442 Moxonidine 120mg Capsule,Cardiology,User_Upload
Acecare-454 Ezetimibe 40mg Tablet,Cardiology,User_Upload
Acecare-457 Noradrenaline 50mg Cap,Cardiology,User_Upload
Acecare-460 Moxonidine 75mg Capsule,Cardiology,User_Upload
Acecare-475 Noradrenaline 250mg Tablet,Cardiology,User_Upload
Acecare-478 Moxonidine 300mg Cap,Cardiology,User_Upload
Acecare-481 Chlorthalidone 1mg Capsule,Cardiology,User_Upload
Acecare-496 Moxonidine 60mg Tablet,Cardiology,User_Upload
Acecare-499 Chlorthalidone 120mg Cap,Cardiology,User_Upload
Acecare-502 Nifedipine 2.5mg Inj,Cardiology,User_Upload
Acecare-514 Moxonidine 40mg Tablet,Cardiology,User_Upload
Acecare-517 Chlorthalidone 75mg Cap,Cardiology,User_Upload
Acecare-520 Nifedipine 80mg Capsule,Cardiology,User_Upload
Acecare-535 Chlorthalidone 300mg Tablet,Cardiology,User_Upload
Acecare-538 Nifedipine 500mg Cap,Cardiology,User_Upload
Acecare-541 Fenofibrate 1mg Capsule,Cardiology,User_Upload
Acecare-55 Selexipag 125mg Tablet,Cardiology,User_Upload
Acecare-556 Nifedipine 90mg Tablet,Cardiology,User_Upload
Acecare-559 Fenofibrate 120mg Cap,Cardiology,User_Upload
Acecare-562 Ambrisentan 2.5mg Inj,Cardiology,User_Upload
Acecare-574 Nifedipine 50mg Tablet,Cardiology,User_Upload
Acecare-577 Fenofibrate 75mg Cap,Cardiology,User_Upload
Acecare-58 Enalapril 160mg Cap,Cardiology,User_Upload
Acecare-580 Ambrisentan 80mg Capsule,Cardiology,User_Upload
Acecare-595 Fenofibrate 300mg Tablet,Cardiology,User_Upload
Acecare-598 Ambrisentan 500mg Cap,Cardiology,User_Upload
Acecare-601 Warfarin 2mg Capsule,Cardiology,User_Upload
Acecare-61 Ezetimibe 200mg Capsule,Cardiology,User_Upload
Acecare-616 Ambrisentan 90mg Tablet,Cardiology,User_Upload
Acecare-619 Warfarin 2.5mg Capsule,Cardiology,User_Upload
Acecare-622 Trimetazidine 5mg Inj,Cardiology,User_Upload
Acecare-634 Ambrisentan 50mg Tablet,Cardiology,User_Upload
Acecare-637 Warfarin 80mg Cap,Cardiology,User_Upload
Acecare-640 Trimetazidine 100mg Capsule,Cardiology,User_Upload
Acecare-655 Warfarin 500mg Tablet,Cardiology,User_Upload
Acecare-658 Trimetazidine 1mg Cap,Cardiology,User_Upload
Acecare-661 Selexipag 2mg Capsule,Cardiology,User_Upload
Acecare-676 Trimetazidine 120mg Tablet,Cardiology,User_Upload
Acecare-679 Selexipag 2.5mg Capsule,Cardiology,User_Upload
Acecare-682 Enalapril 10mg Inj,Cardiology,User_Upload
Acecare-694 Trimetazidine 75mg Tablet,Cardiology,User_Upload
Acecare-697 Selexipag 80mg Cap,Cardiology,User_Upload
Acecare-700 Enalapril 125mg Capsule,Cardiology,User_Upload
Acecare-715 Selexipag 500mg Tablet,Cardiology,User_Upload
Acecare-718 Enalapril 2mg Cap,Cardiology,User_Upload
Acecare-721 Ezetimibe 4mg Capsule,Cardiology,User_Upload
Acecare-736 Enalapril 2.5mg Cap,Cardiology,User_Upload
Acecare-739 Ezetimibe 5mg Capsule,Cardiology,User_Upload
Acecare-742 Noradrenaline 10mg Inj,Cardiology,User_Upload
Acecare-754 Enalapril 80mg Tablet,Cardiology,User_Upload
Acecare-757 Ezetimibe 100mg Cap,Cardiology,User_Upload
Acecare-76 Enalapril 8mg Tablet,Cardiology,User_Upload
Acecare-760 Noradrenaline 125mg Capsule,Cardiology,User_Upload
Acecare-775 Ezetimibe 1mg Tablet,Cardiology,User_Upload
Acecare-778 Noradrenaline 2mg Cap,Cardiology,User_Upload
Acecare-781 Moxonidine 4mg Capsule,Cardiology,User_Upload
Acecare-79 Ezetimibe 12.5mg Cap,Cardiology,User_Upload
Acecare-796 Noradrenaline 2.5mg Cap,Cardiology,User_Upload
Acecare-799 Moxonidine 5mg Capsule,Cardiology,User_Upload
Acecare-802 Chlorthalidone 20mg Inj,Cardiology,User_Upload
Acecare-814 Noradrenaline 80mg Tablet,Cardiology,User_Upload
Acecare-817 Moxonidine 100mg Cap,Cardiology,User_Upload
Acecare-82 Noradrenaline 30mg Capsule,Cardiology,User_Upload
Acecare-820 Chlorthalidone 150mg Capsule,Cardiology,User_Upload
Acecare-835 Moxonidine 1mg Tablet,Cardiology,User_Upload
Acecare-838 Chlorthalidone 4mg Cap,Cardiology,User_Upload
Acecare-841 Nifedipine 8mg Capsule,Cardiology,User_Upload
Acecare-856 Chlorthalidone 5mg Cap,Cardiology,User_Upload
Acecare-859 Nifedipine 10mg Capsule,Cardiology,User_Upload
Acecare-862 Fenofibrate 20mg Inj,Cardiology,User_Upload
Acecare-874 Chlorthalidone 100mg Tablet,Cardiology,User_Upload
Acecare-877 Nifedipine 125mg Cap,Cardiology,User_Upload
Acecare-880 Fenofibrate 150mg Capsule,Cardiology,User_Upload
Acecare-895 Nifedipine 2mg Tablet,Cardiology,User_Upload
Acecare-898 Fenofibrate 4mg Cap,Cardiology,User_Upload
Acecare-901 Ambrisentan 8mg Capsule,Cardiology,User_Upload
Acecare-913 Nifedipine 2.5mg Tablet,Cardiology,User_Upload
Acecare-916 Fenofibrate 5mg Cap,Cardiology,User_Upload
Acecare-919 Ambrisentan 10mg Capsule,Cardiology,User_Upload
Acecare-922 Warfarin 25mg Inj,Cardiology,User_Upload
Acecare-934 Fenofibrate 100mg Tablet,Cardiology,User_Upload
Acecare-937 Ambrisentan 125mg Cap,Cardiology,User_Upload
Acecare-94 Enalapril 10mg Tablet,Cardiology,User_Upload
Acecare-940 Warfarin 160mg Capsule,Cardiology,User_Upload
Acecare-955 Ambrisentan 2mg Tablet,Cardiology,User_Upload
Acecare-958 Warfarin 8mg Cap,Cardiology,User_Upload
Acecare-961 Trimetazidine 12.5mg Capsule,Cardiology,User_Upload
Acecare-97 Ezetimibe 20mg Cap,Cardiology,User_Upload
Acecare-973 Ambrisentan 2.5mg Tablet,Cardiology,User_Upload
Acecare-976 Warfarin 10mg Cap,Cardiology,User_Upload
Acecare-979 Trimetazidine 20mg Capsule,Cardiology,User_Upload
Acecare-982 Selexipag 25mg Inj,Cardiology,User_Upload
Acecare-994 Warfarin 125mg Tablet,Cardiology,User_Upload
Acecare-997 Trimetazidine 150mg Cap,Cardiology,User_Upload
Acesafe-102 Selexipag 30mg Capsule,Cardiology,User_Upload
Acesafe-114 Warfarin 10mg Tablet,Cardiology,User_Upload
Acesafe-117 Trimetazidine 20mg Cap,Cardiology,User_Upload
Acesafe-120 Selexipag 25mg Capsule,Cardiology,User_Upload
Acesafe-135 Trimetazidine 150mg Tablet,Cardiology,User_Upload
Acesafe-138 Selexipag 160mg Cap,Cardiology,User_Upload
Acesafe-141 Enalapril 250mg Capsule,Cardiology,User_Upload
Acesafe-15 Nifedipine 125mg Tablet,Cardiology,User_Upload
Acesafe-156 Selexipag 8mg Tablet,Cardiology,User_Upload
Acesafe-159 Enalapril 30mg Cap,Cardiology,User_Upload
Acesafe-162 Ezetimibe 60mg Capsule,Cardiology,User_Upload
Acesafe-174 Selexipag 10mg Tablet,Cardiology,User_Upload
Acesafe-177 Enalapril 25mg Cap,Cardiology,User_Upload
Acesafe-18 Fenofibrate 150mg Cap,Cardiology,User_Upload
Acesafe-180 Ezetimibe 40mg Capsule,Cardiology,User_Upload
Acesafe-195 Enalapril 160mg Tablet,Cardiology,User_Upload
Acesafe-198 Ezetimibe 200mg Cap,Cardiology,User_Upload
Acesafe-201 Noradrenaline 250mg Capsule,Cardiology,User_Upload
Acesafe-21 Ambrisentan 160mg Capsule,Cardiology,User_Upload
Acesafe-216 Ezetimibe 12.5mg Tablet,Cardiology,User_Upload
Acesafe-219 Noradrenaline 30mg Cap,Cardiology,User_Upload
Acesafe-222 Moxonidine 60mg Capsule,Cardiology,User_Upload
Acesafe-234 Ezetimibe 20mg Tablet,Cardiology,User_Upload
Acesafe-237 Noradrenaline 25mg Cap,Cardiology,User_Upload
Acesafe-240 Moxonidine 40mg Capsule,Cardiology,User_Upload
Acesafe-255 Noradrenaline 160mg Tablet,Cardiology,User_Upload
Acesafe-258 Moxonidine 200mg Cap,Cardiology,User_Upload
Acesafe-261 Chlorthalidone 300mg Capsule,Cardiology,User_Upload
Acesafe-276 Moxonidine 12.5mg Tablet,Cardiology,User_Upload
Acesafe-279 Chlorthalidone 60mg Cap,Cardiology,User_Upload
Acesafe-282 Nifedipine 90mg Capsule,Cardiology,User_Upload
Acesafe-294 Moxonidine 20mg Tablet,Cardiology,User_Upload
Acesafe-297 Chlorthalidone 40mg Cap,Cardiology,User_Upload
Acesafe-3 Ambrisentan 25mg Inj,Cardiology,User_Upload
Acesafe-300 Nifedipine 50mg Capsule,Cardiology,User_Upload
Acesafe-315 Chlorthalidone 200mg Tablet,Cardiology,User_Upload
Acesafe-318 Nifedipine 250mg Cap,Cardiology,User_Upload
Acesafe-321 Fenofibrate 300mg Capsule,Cardiology,User_Upload
Acesafe-336 Nifedipine 30mg Tablet,Cardiology,User_Upload
Acesafe-339 Fenofibrate 60mg Cap,Cardiology,User_Upload
Acesafe-342 Ambrisentan 90mg Capsule,Cardiology,User_Upload
Acesafe-354 Nifedipine 25mg Tablet,Cardiology,User_Upload
Acesafe-357 Fenofibrate 40mg Cap,Cardiology,User_Upload
Acesafe-36 Fenofibrate 4mg Tablet,Cardiology,User_Upload
Acesafe-360 Ambrisentan 50mg Capsule,Cardiology,User_Upload
Acesafe-375 Fenofibrate 200mg Tablet,Cardiology,User_Upload
Acesafe-378 Ambrisentan 250mg Cap,Cardiology,User_Upload
Acesafe-381 Warfarin 500mg Capsule,Cardiology,User_Upload
Acesafe-39 Ambrisentan 8mg Cap,Cardiology,User_Upload
Acesafe-396 Ambrisentan 30mg Tablet,Cardiology,User_Upload
Acesafe-399 Warfarin 90mg Cap,Cardiology,User_Upload
Acesafe-402 Trimetazidine 120mg Capsule,Cardiology,User_Upload
Acesafe-414 Ambrisentan 25mg Tablet,Cardiology,User_Upload
Acesafe-417 Warfarin 50mg Cap,Cardiology,User_Upload
Acesafe-42 Warfarin 30mg Capsule,Cardiology,User_Upload
Acesafe-420 Trimetazidine 75mg Capsule,Cardiology,User_Upload
Acesafe-435 Warfarin 250mg Tablet,Cardiology,User_Upload
Acesafe-438 Trimetazidine 300mg Cap,Cardiology,User_Upload
Acesafe-441 Selexipag 500mg Capsule,Cardiology,User_Upload
Acesafe-456 Trimetazidine 60mg Tablet,Cardiology,User_Upload
Acesafe-459 Selexipag 90mg Cap,Cardiology,User_Upload
Acesafe-462 Enalapril 2.5mg Inj,Cardiology,User_Upload
Acesafe-474 Trimetazidine 40mg Tablet,Cardiology,User_Upload
Acesafe-477 Selexipag 50mg Cap,Cardiology,User_Upload
Acesafe-480 Enalapril 80mg Capsule,Cardiology,User_Upload
Acesafe-495 Selexipag 250mg Tablet,Cardiology,User_Upload
Acesafe-498 Enalapril 500mg Cap,Cardiology,User_Upload
Acesafe-501 Ezetimibe 1mg Capsule,Cardiology,User_Upload
Acesafe-516 Enalapril 90mg Tablet,Cardiology,User_Upload
Acesafe-519 Ezetimibe 120mg Cap,Cardiology,User_Upload
Acesafe-522 Noradrenaline 2.5mg Inj,Cardiology,User_Upload
Acesafe-534 Enalapril 50mg Tablet,Cardiology,User_Upload
Acesafe-537 Ezetimibe 75mg Cap,Cardiology,User_Upload
Acesafe-54 Fenofibrate 5mg Tablet,Cardiology,User_Upload
Acesafe-540 Noradrenaline 80mg Capsule,Cardiology,User_Upload
Acesafe-555 Ezetimibe 300mg Tablet,Cardiology,User_Upload
Acesafe-558 Noradrenaline 500mg Cap,Cardiology,User_Upload
Acesafe-561 Moxonidine 1mg Capsule,Cardiology,User_Upload
Acesafe-57 Ambrisentan 10mg Cap,Cardiology,User_Upload
Acesafe-576 Noradrenaline 90mg Tablet,Cardiology,User_Upload
Acesafe-579 Moxonidine 120mg Cap,Cardiology,User_Upload
Acesafe-582 Chlorthalidone 5mg Inj,Cardiology,User_Upload
Acesafe-594 Noradrenaline 50mg Tablet,Cardiology,User_Upload
Acesafe-597 Moxonidine 75mg Cap,Cardiology,User_Upload
Acesafe-60 Warfarin 25mg Capsule,Cardiology,User_Upload
Acesafe-600 Chlorthalidone 100mg Capsule,Cardiology,User_Upload
Acesafe-615 Moxonidine 300mg Tablet,Cardiology,User_Upload
Acesafe-618 Chlorthalidone 1mg Cap,Cardiology,User_Upload
Acesafe-621 Nifedipine 2mg Capsule,Cardiology,User_Upload
Acesafe-63 Trimetazidine 40mg Inj,Cardiology,User_Upload
Acesafe-636 Chlorthalidone 120mg Tablet,Cardiology,User_Upload
Acesafe-639 Nifedipine 2.5mg Capsule,Cardiology,User_Upload
Acesafe-642 Fenofibrate 5mg Inj,Cardiology,User_Upload
Acesafe-654 Chlorthalidone 75mg Tablet,Cardiology,User_Upload
Acesafe-657 Nifedipine 80mg Cap,Cardiology,User_Upload
Acesafe-660 Fenofibrate 100mg Capsule,Cardiology,User_Upload
